WELL,DEPTH,FACIES,FORMATION,GR,HC,ILD,NPHI,PERM,PHIE,RHOB,SW,VSH
15/9-F-14,2775.0,,Hod Fm,27.592,0.0,5.011,0.2541,176.851,0.266849,2.1444,0.432662,0.110504
15/9-F-14,2777.5,,Hod Fm,,0.0,5.011,0.2713,,,2.0351,,
15/9-F-14,2780.0,,Hod Fm,,0.0,5.011,0.2687,,,2.0444,,
15/9-F-14,2782.5,,Hod Fm,10.7955,0.0,5.011,0.2643,264.36,0.3,2.1074,0.409661,0.0
15/9-F-14,2785.0,,Hod Fm,9.9779,0.0,5.011,0.2631,264.375,0.3,2.1211,0.40965,0.0
15/9-F-14,2787.5,,Hod Fm,9.6901,0.0,5.011,0.2666,257.433,0.298772,2.1671,0.411322,0.0
15/9-F-14,2790.0,,Hod Fm,8.9023,0.0,5.011,0.2544,242.603,0.296054,2.1617,0.415086,0.0
15/9-F-14,2792.5,,Hod Fm,9.3719,0.0,5.011,0.2798,264.419,0.3,2.1297,0.409615,0.0
15/9-F-14,2795.0,,Hod Fm,9.0662,0.0,5.011,0.2856,264.434,0.3,2.0,0.409604,0.0
15/9-F-14,2797.5,,Hod Fm,9.2425,0.0,5.011,0.2821,264.449,0.3,1.9832,0.409592,0.0
15/9-F-14,2800.0,,Hod Fm,9.5797,0.0,5.011,0.2952,264.464,0.3,2.0657,0.409581,0.0
15/9-F-14,2802.5,,Hod Fm,10.331,0.0,5.011,0.3154,264.479,0.3,2.0512,0.409569,0.0
15/9-F-14,2805.0,,Hod Fm,10.7207,0.0,5.011,0.2979,264.494,0.3,2.0879,0.409558,0.0
15/9-F-14,2807.5,,Hod Fm,11.2627,0.0,5.011,0.3161,264.509,0.3,2.0949,0.409546,0.0
15/9-F-14,2810.0,,Hod Fm,11.2182,0.0,5.011,0.3204,264.524,0.3,2.0884,0.409535,0.0
15/9-F-14,2812.5,,Hod Fm,11.6438,0.0,5.011,0.318,264.539,0.3,2.0268,0.409523,0.0
15/9-F-14,2815.0,,Hod Fm,12.061,0.0,5.011,0.3221,264.554,0.3,1.9741,0.409511,0.0
15/9-F-14,2817.5,,Hod Fm,13.5002,0.0,5.011,0.3253,264.568,0.3,1.9403,0.4095,0.0
15/9-F-14,2820.0,,Hod Fm,14.4283,0.0,5.011,0.3299,261.381,0.298955,1.9203,0.410197,0.00348211
15/9-F-14,2822.5,,Hod Fm,15.0553,0.0,5.011,0.3186,256.763,0.297426,2.046,0.411224,0.00857967
15/9-F-14,2825.0,,Hod Fm,14.9173,0.0,5.011,0.2985,257.792,0.297763,2.1671,0.410984,0.00745773
15/9-F-14,2827.5,,Hod Fm,14.7961,0.0,5.011,0.3169,258.699,0.298058,2.1353,0.410771,0.00647235
15/9-F-14,2830.0,,Hod Fm,14.4222,0.0,5.011,0.3311,261.485,0.29897,2.0163,0.410141,0.00343252
15/9-F-14,2832.5,,Hod Fm,13.7781,0.0,5.011,0.3451,264.658,0.3,1.851,0.409431,0.0
15/9-F-14,2835.0,,Hod Fm,12.9132,0.0,5.011,0.3489,264.673,0.3,1.8456,0.409419,0.0
15/9-F-14,2837.5,,Hod Fm,12.1674,0.0,5.011,0.3273,264.688,0.3,1.8787,0.409408,0.0
15/9-F-14,2840.0,,Hod Fm,11.1927,0.0,5.011,0.3283,264.703,0.3,1.8846,0.409396,0.0
15/9-F-14,2842.5,,Hod Fm,10.5605,0.0,5.011,0.3068,264.718,0.3,1.8194,0.409385,0.0
15/9-F-14,2845.0,,Hod Fm,10.1884,0.0,5.011,0.3127,264.732,0.3,1.8148,0.409373,0.0
15/9-F-14,2847.5,,Hod Fm,10.947,0.0,5.011,0.4622,264.747,0.3,1.0988,0.409362,0.0
15/9-F-14,2850.0,,Hod Fm,12.6398,0.0,5.011,0.3611,213.313,0.290191,2.3465,0.423186,0.0
