WELL,DEPTH,FACIES,prediction,prediction_correct
15/9-F-1,3319.0,,,
15/9-F-1,3319.1,,,
15/9-F-1,3319.2,,,
15/9-F-1,3319.3,,,
15/9-F-1,3319.4,,,
15/9-F-1,3319.5,,,
15/9-F-1,3319.6,,,
15/9-F-1,3319.7,,,
15/9-F-1,3319.8,,,
15/9-F-1,3319.9,,,
15/9-F-1,3320.0,,,
15/9-F-1,3320.1,,,
15/9-F-1,3320.2,,,
15/9-F-1,3320.3,,,
15/9-F-1,3320.4,,,
15/9-F-1,3320.5,,,
15/9-F-1,3320.6,,,
15/9-F-1,3320.7,,,
15/9-F-1,3320.8,,,
15/9-F-1,3320.9,,,
15/9-F-1,3321.0,,,
15/9-F-1,3321.1,,,
15/9-F-1,3321.2,,,
15/9-F-1,3321.3,,,
15/9-F-1,3321.4,,,
15/9-F-1,3321.5,,,
15/9-F-1,3321.6,,,
15/9-F-1,3321.7,,,
15/9-F-1,3321.8,,,
15/9-F-1,3321.9,,,
15/9-F-1,3322.0,,,
15/9-F-1,3322.1,,,
15/9-F-1,3322.2,,,
15/9-F-1,3322.3,,,
15/9-F-1,3322.4,,,
15/9-F-1,3322.5,,,
15/9-F-1,3322.6,,,
15/9-F-1,3322.7,,,
15/9-F-1,3322.8,,,
15/9-F-1,3322.9,,,
15/9-F-1,3323.0,,,
15/9-F-1,3323.1,,,
15/9-F-1,3323.2,,,
15/9-F-1,3323.3,,,
15/9-F-1,3323.4,,,
15/9-F-1,3323.5,,,
15/9-F-1,3323.6,,,
15/9-F-1,3323.7,,,
15/9-F-1,3323.8,,,
15/9-F-1,3323.9,,,
15/9-F-1,3324.0,,,
15/9-F-1,3324.1,,,
15/9-F-1,3324.2,,,
15/9-F-1,3324.3,,,
15/9-F-1,3324.4,,,
15/9-F-1,3324.5,,,
15/9-F-1,3324.6,,,
15/9-F-1,3324.7,,,
15/9-F-1,3324.8,,,
15/9-F-1,3324.9,,,
15/9-F-1,3325.0,,,
15/9-F-1,3325.1,,,
15/9-F-1,3325.2,,,
15/9-F-1,3325.3,,,
15/9-F-1,3325.4,,,
15/9-F-1,3325.5,,,
15/9-F-1,3325.6,,,
15/9-F-1,3325.7,,,
15/9-F-1,3325.8,,,
15/9-F-1,3325.9,,,
15/9-F-1,3326.0,,,
15/9-F-1,3326.1,,,
15/9-F-1,3326.2,,,
15/9-F-1,3326.3,,,
15/9-F-1,3326.4,,,
15/9-F-1,3326.5,,,
15/9-F-1,3326.6,,,
15/9-F-1,3326.7,,,
15/9-F-1,3326.8,,,
15/9-F-1,3326.9,,,
15/9-F-1,3327.0,,,
15/9-F-1,3327.1,,,
15/9-F-1,3327.2,,,
15/9-F-1,3327.3,,,
15/9-F-1,3327.4,,,
15/9-F-1,3327.5,,,
15/9-F-1,3327.6,,,
15/9-F-1,3327.7,,,
15/9-F-1,3327.8,,,
15/9-F-1,3327.9,,,
