WELL,DEPTH,VSH,prediction,error,abs_error_decile
15/9-F-1,3319.3,0.312841,0.8565109,0.543669877609253,7
15/9-F-1,3319.4,0.27957600000000005,0.63101065,0.3514346515884399,5
15/9-F-1,3319.5,0.243707,0.56817406,0.3244670641593933,4
15/9-F-1,3319.6,0.222768,0.2976613,0.07489330447387696,1
15/9-F-1,3319.7,0.217718,0.1854912,-0.03222679573822021,0
15/9-F-1,3320.0,0.231031,0.2920346,0.061003596204757704,0
15/9-F-1,3320.1,0.219625,0.26956433,0.049939330577850355,0
15/9-F-1,3320.5,0.22835300000000003,0.26152676,0.03317376343917844,0
15/9-F-1,3320.6,0.22948000000000002,0.26152676,0.03204676343917845,0
15/9-F-1,3320.9,0.24798499999999998,0.25394392,0.005958920135498064,0
15/9-F-1,3321.1,0.262461,0.23242939,-0.0300316148147583,0
15/9-F-1,3321.3,0.314472,0.35748512,0.043013115528106716,0
15/9-F-1,3321.8,0.576121,0.4060428,-0.17007818574523925,2
15/9-F-1,3322.7,0.985657,0.2913073,-0.6943496996707916,9
15/9-F-1,3322.8,0.9974930000000001,0.33922303,-0.658269972770691,9
15/9-F-1,3323.1,0.9480620000000001,0.599996,-0.3480660292739869,5
15/9-F-1,3323.4,0.9149440000000001,0.84117234,-0.07377166246795663,1
15/9-F-1,3323.5,0.938074,0.84117234,-0.0969016624679565,1
15/9-F-1,3323.9,1.0,0.6326877,-0.36731231212615967,5
15/9-F-1,3324.2,0.920917,0.7860148,-0.13490220469665526,1
15/9-F-1,3324.3,0.8797510000000001,0.7905246,-0.08922639806365973,1
15/9-F-1,3326.0,0.348283,0.6215768,0.27329378604125976,3
15/9-F-1,3326.8,0.20478,0.5436645,0.3388845150184632,4
15/9-F-1,3326.9,0.18137899999999998,0.54204845,0.360669454284668,5
15/9-F-1,3328.1,0.20309000000000002,0.25932586,0.05623586193084715,0
15/9-F-1,3328.9,0.245157,0.30674446,0.06158745629119872,0
15/9-F-1,3329.4,0.30935300000000004,0.3005439,-0.00880909569549565,0
15/9-F-1,3329.7,0.350648,0.26732844,-0.08331955885696413,1
15/9-F-1,3330.0,0.293025,0.25844842,-0.03457657804489134,0
15/9-F-1,3330.3,0.156685,0.23923582,0.08255081838607789,1
15/9-F-1,3330.5,0.09709169999999999,0.25844842,0.16135672195510864,2
15/9-F-1,3330.8,0.031389,0.26233616,0.23094716471290588,3
15/9-F-1,3331.3,0.08508989999999998,0.22534463,0.14025472809562683,2
15/9-F-1,3331.5,0.142261,0.20842558,0.06616458145523071,0
15/9-F-1,3332.0,0.19731700000000002,0.17594403,-0.02137296971511843,0
15/9-F-1,3332.2,0.21610700000000002,0.1964387,-0.019668300039291403,0
15/9-F-1,3332.3,0.23425,0.24149168,0.007241675376892076,0
15/9-F-1,3332.9,0.33329899999999996,0.39270708,0.0594080796489716,0
15/9-F-1,3333.2,0.33216599999999996,0.43485492,0.10268892467880253,1
15/9-F-1,3333.6,0.42635100000000004,0.36384755,-0.06250344626998905,0
15/9-F-1,3333.9,0.49830100000000005,0.4130044,-0.08529660165405278,1
15/9-F-1,3334.0,0.49826800000000004,0.4202887,-0.0779792882137299,1
