DEPTH,GR,NPHI,RHOB,ILD,WELL,SW,PHIE,VSH,PERM
FEET,GAPI,V/V,G/C3,OHMM,,V/V,V/V,V/V,MD
15912.5,9.79,0.1341,2.55,2.49,15/9-F-10,0.919133,0.116969,0,0.757803
15913,11.2587,0.11151,2.5198,2.4966,15/9-F-10,0.974146,0.109462,0.00833576,0.50898
15913.5,9.9104,0.112181,2.5121,2.9018,15/9-F-10,0.917302,0.114249,0,0.68439
15914,8.6531,0.114753,2.5788,2.959,15/9-F-10,1.05189,0.0993177,0,0.306634
15914.5,7.31,0.117,2.55,2.96,15/9-F-10,0.972311,0.107437,0,0.461941
15915,8.4855,0.117115,2.55,2.9799,15/9-F-10,0.9717,0.107503,0,0.463792
15915.5,9.6619,0.125908,2.55,2.97,15/9-F-10,0.928931,0.11245,0,0.621376
15916,10.7668,0.136576,2.55,2.97,15/9-F-10,0.888433,0.117057,0.00507815,0.822182
15916.5,11.2674,0.1368,2.55,2.97,15/9-F-10,0.891139,0.116355,0.00839338,0.800698
15917,11.7451,0.12092,2.5497,2.9,15/9-F-10,0.965501,0.106818,0.011557,0.467188
15917.5,12.1798,0.150613,2.5197,2.9045,15/9-F-10,0.792868,0.129964,0.0144358,1.68436
15918,10.6462,0.151089,2.5102,3.0759,15/9-F-10,0.754719,0.135159,0.00427947,2.17246
15918.5,9.003,0.119058,2.51,3.08,15/9-F-10,0.86676,0.118197,0,0.893176
15919,7.3978,0.115201,2.5599,3.08,15/9-F-10,0.984502,0.104058,0,0.390215
15919.5,9.6602,0.115286,2.5504,3.0802,15/9-F-10,0.960174,0.106364,0,0.452768
15920,11.7843,0.114715,2.5695,3.0897,15/9-F-10,1.02532,0.0985358,0.0118166,0.303039
15920.5,14.0363,0.101443,2.5304,3.09,15/9-F-10,1.02029,0.0974327,0.0267305,0.296965
15921,13.1251,0.100503,2.5501,3.129,15/9-F-10,1.07825,0.0923971,0.020696,0.231008
15921.5,12.1914,0.119834,2.5592,2.94,15/9-F-10,0.97086,0.10319,0.0145126,0.397874
15922,11.3056,0.126216,2.5211,2.94,15/9-F-10,0.858779,0.117467,0.00864636,0.900314
15922.5,12.6712,0.125907,2.5299,2.9795,15/9-F-10,0.888784,0.112867,0.0176901,0.715245
15923,14.1,0.1117,2.54,2.98,15/9-F-10,0.993269,0.099782,0.0271523,0.33536
15923.5,15.4925,0.1128,2.46,2.98,15/9-F-10,0.799066,0.12391,0.0363742,1.3996
15924,14.54,0.1128,2.46,2.98,15/9-F-10,0.79435,0.125363,0.0300662,1.47317
15924.5,13.526,0.129036,2.4698,2.98,15/9-F-10,0.768056,0.130493,0.023351,1.86154
15925,12.51,0.1203,2.53,3.03,15/9-F-10,0.910543,0.109886,0.0166225,0.60283
15925.5,11.7783,0.120635,2.5195,2.58,15/9-F-10,0.906187,0.113827,0.0117768,0.706252
15926,11.0384,0.110467,2.4906,2.5794,15/9-F-10,0.86895,0.119277,0.00687682,0.938668
15926.5,10.3526,0.109419,2.5096,2.5603,15/9-F-10,0.920244,0.113408,0.0023351,0.660888
15927,10.65,0.1058,2.6,2.56,15/9-F-10,1.17872,0.0882894,0.00430463,0.182111
15927.5,10.9741,0.121235,2.5996,2.56,15/9-F-10,1.07866,0.0962956,0.00645099,0.270302
15928,11.28,0.109055,2.5686,2.5603,15/9-F-10,1.07412,0.0963659,0.00847682,0.272301
15928.5,11.28,0.11096,2.521,2.5698,15/9-F-10,0.96299,0.108791,0.00847682,0.506785
15929,14.085,0.146907,2.5101,2.57,15/9-F-10,0.812232,0.127192,0.027053,1.49461
15929.5,16.9501,0.142405,2.5399,2.66,15/9-F-10,0.887032,0.112549,0.0460272,0.751779
15930,19.7542,0.142525,2.53,2.66,15/9-F-10,0.885768,0.110402,0.0645974,0.719059
15930.5,20.2972,0.128238,2.53,2.66,15/9-F-10,0.956134,0.101338,0.0681934,0.42294
15931,20.8854,0.147442,2.53,2.66,15/9-F-10,0.872887,0.111261,0.0720887,0.779137
15931.5,21.4606,0.147501,2.5299,2.6682,15/9-F-10,0.87084,0.110365,0.075898,0.761059
15932,20.2635,0.135729,2.5202,2.44,15/9-F-10,0.937928,0.108078,0.0679702,0.586985
15932.5,19.1395,0.158113,2.5297,2.44,15/9-F-10,0.855607,0.120054,0.0605265,1.11397
15933,17.9426,0.159096,2.4904,2.3015,15/9-F-10,0.838694,0.132503,0.0526,1.77724
15933.5,15.2357,0.151397,2.4601,2.3,15/9-F-10,0.804403,0.140516,0.0346735,2.42366
15934,12.5062,0.150726,2.4704,2.3,15/9-F-10,0.807437,0.141941,0.0165973,2.42551
15934.5,9.944,0.147202,2.4894,2.3,15/9-F-10,0.834028,0.139348,0,2.02342
15935,12.3465,0.117401,2.4999,2.3,15/9-F-10,0.977275,0.117079,0.0155397,0.694597
15935.5,14.88,0.1176,2.49,2.18,15/9-F-10,1.03469,0.116727,0.0323179,0.677332
15936,17.3926,0.163627,2.4598,2.1755,15/9-F-10,0.834881,0.143716,0.0489576,2.56526
15936.5,17.5355,0.154197,2.4503,1.9278,15/9-F-10,0.877698,0.141652,0.049904,2.1791
15937,17.6974,0.152621,2.4795,1.92,15/9-F-10,0.937068,0.132039,0.0509762,1.39658
15937.5,17.86,0.1755,2.48,1.92,15/9-F-10,0.85974,0.144278,0.052053,2.47801
15938,18.7339,0.188487,2.4702,1.9198,15/9-F-10,0.812109,0.152387,0.0578404,3.59576
15938.5,19.6158,0.186965,2.48,1.9085,15/9-F-10,0.828333,0.147561,0.0636808,3.02769
15939,20.4349,0.163629,2.48,1.8609,15/9-F-10,0.924617,0.133515,0.0691053,1.56732
15939.5,17.3,0.1907,2.48,1.86,15/9-F-10,0.823157,0.153345,0.0483444,3.52844
15940,14.108,0.154015,2.4199,1.8901,15/9-F-10,0.813036,0.157255,0.0272053,3.87671
15940.5,10.9898,0.140297,2.41,1.9,15/9-F-10,0.812013,0.15965,0.00655497,3.98884
15941,10.6374,0.140202,2.41,1.9,15/9-F-10,0.810739,0.160139,0.00422119,4.03781
