DEPTH,GR,NPHI,RHOB,ILD,WELL,PERM,SW,PHIE,VSH,HC,FORMATION,Facies
METERS,GAPI,V/V,G/C3,OHMM,,MD,V/V,V/V,V/V,,,
200.2536,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
200.406,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
200.5584,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
200.7108,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
200.8632,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
201.0156,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
201.168,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
201.3204,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
201.4728,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
201.6252,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
201.7776,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
201.93,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
202.0824,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
202.2348,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
202.3872,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
202.5396,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
202.692,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
202.8444,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
202.9968,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
203.1492,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
203.3016,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
203.454,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
203.6064,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
203.7588,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
203.9112,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
204.0636,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
204.216,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
204.3684,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
204.5208,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
204.6732,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
204.8256,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
204.978,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
205.1304,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
205.2828,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
205.4352,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
205.5876,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
205.74,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
205.8924,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
206.0448,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
206.1972,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
206.3496,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
206.502,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
206.6544,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
206.8068,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
206.9592,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
207.1116,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
207.264,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
207.4164,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
207.5688,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
207.7212,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
207.8736,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
208.026,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
208.1784,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
208.3308,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
208.4832,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
208.6356,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
208.788,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
208.9404,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
209.0928,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
209.2452,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
209.3976,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
209.55,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
209.7024,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
209.8548,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
210.0072,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
210.1596,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
210.312,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
210.4644,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
210.6168,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
210.7692,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
210.9216,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
211.074,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
211.2264,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
211.3788,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
211.5312,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
211.6836,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
211.836,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
211.9884,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
212.1408,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
212.2932,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
212.4456,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
212.598,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
212.7504,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
212.9028,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
213.0552,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
213.2076,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
213.36,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
213.5124,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
213.6648,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
213.8172,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
213.9696,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
214.122,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
214.2744,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
214.4268,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
214.5792,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
214.7316,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
214.884,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
215.0364,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
215.1888,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
215.3412,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
215.4936,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
215.646,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
215.7984,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
215.9508,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
216.1032,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
216.2556,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
216.408,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
216.5604,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
216.7128,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
216.8652,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
217.0176,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
217.17,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
217.3224,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
217.4748,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
217.6272,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
217.7796,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
217.932,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
218.0844,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
218.2368,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
218.3892,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
218.5416,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
218.694,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
218.8464,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
218.9988,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
219.1512,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
219.3036,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
219.456,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
219.6084,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
219.7608,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
219.9132,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
220.0656,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
220.218,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
220.3704,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
220.5228,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
220.6752,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
220.8276,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
220.98,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
221.1324,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
221.2848,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
221.4372,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
221.5896,1,-999.25,-999.25,-999.25,15/9-F-4,,,-999.25,0,0,Utsira Fm,
