DEPTH,GR,NPHI,RHOB,RT,WELL
METERS,GAPI,V/V,G/C3,OHMM,
3315.5,240.603,0.4841,19.367,-999.25,15/9-F-4
3316,239.408,0.4841,19.367,-999.25,15/9-F-4
3316.5,254.334,0.4907,19.367,-999.25,15/9-F-4
3317,250.155,-47.611,19.367,-999.25,15/9-F-4
3317.5,258.215,0.4703,19.367,-999.25,15/9-F-4
3318,266.872,0.4318,19.367,-999.25,15/9-F-4
3318.5,25.523,0.3932,19.367,-999.25,15/9-F-4
3319,231.349,0.3917,19.367,-999.25,15/9-F-4
3319.5,196.721,0.3997,19.367,-999.25,15/9-F-4
3320,186.572,0.4552,19.367,-999.25,15/9-F-4
3320.5,196.721,0.4425,19.367,-999.25,15/9-F-4
3321,215.527,0.4399,19.367,-999.25,15/9-F-4
3321.5,237.319,0.4081,19.367,-999.25,15/9-F-4
3322,231.349,0.424,19.367,-999.25,15/9-F-4
3322.5,212.542,0.4324,19.367,-999.25,15/9-F-4
3323,181.796,0.4598,19.367,-999.25,15/9-F-4
3323.5,179.706,0.3935,20.534,-999.25,15/9-F-4
3324,171.646,0.3683,20.839,-999.25,15/9-F-4
3324.5,194.632,0.3767,22.008,-999.25,15/9-F-4
3325,188.661,0.3541,22.049,-999.25,15/9-F-4
3325.5,203.587,0.3736,22.378,-999.25,15/9-F-4
3326,227.468,0.4033,22.018,-999.25,15/9-F-4
3326.5,264.185,0.3992,21.884,-999.25,15/9-F-4
3327,277.021,0.3667,21.341,-999.25,15/9-F-4
3327.5,25.314,0.3697,21.405,-999.25,15/9-F-4
3328,16.153,0.3533,21.564,-999.25,15/9-F-4
3328.5,169.621,0.3745,21.738,-999.25,15/9-F-4
3329,15.381,0.3582,21.826,-999.25,15/9-F-4
3329.5,11.997,0.3515,20.964,-999.25,15/9-F-4
3330,99.473,0.3362,20.794,-999.25,15/9-F-4
3330.5,106.509,0.343,20.578,-999.25,15/9-F-4
3331,125.096,0.3532,2.121,-999.25,15/9-F-4
3331.5,136.396,0.3512,20.956,-999.25,15/9-F-4
3332,131.907,0.3521,21.161,-999.25,15/9-F-4
3332.5,128.513,0.3549,21.557,-999.25,15/9-F-4
3333,136.126,0.357,21.713,-999.25,15/9-F-4
3333.5,124.632,0.3548,21.813,-999.25,15/9-F-4
3334,115.952,0.357,21.449,-999.25,15/9-F-4
3334.5,96.277,0.3428,21.874,-999.25,15/9-F-4
3335,97.122,0.3692,21.919,-999.25,15/9-F-4
3335.5,101.424,0.3768,21.307,-999.25,15/9-F-4
3336,111.776,0.3929,20.301,-999.25,15/9-F-4
3336.5,110.097,0.3873,20.742,-999.25,15/9-F-4
3337,116.861,0.3681,20.649,-999.25,15/9-F-4
3337.5,122.941,0.3711,21.461,-999.25,15/9-F-4
3338,134.573,0.4076,21.256,-999.25,15/9-F-4
3338.5,13.169,0.3766,21.858,-999.25,15/9-F-4
3339,12.635,0.3765,21.909,-999.25,15/9-F-4
3339.5,11.888,0.3362,23.269,-999.25,15/9-F-4
3340,111.689,0.3323,2.366,-999.25,15/9-F-4
3340.5,101.598,0.3617,23.434,-999.25,15/9-F-4
3341,106.297,0.4086,22.399,-999.25,15/9-F-4
3341.5,114.858,0.412,21.079,-999.25,15/9-F-4
3342,120.015,0.3843,21.591,-999.25,15/9-F-4
3342.5,121.409,0.406,20.007,-999.25,15/9-F-4
3343,122.631,0.4023,19.778,-999.25,15/9-F-4
3343.5,129.234,0.4054,19.567,-999.25,15/9-F-4
3344,121.948,0.3874,20.673,-999.25,15/9-F-4
3344.5,123.721,0.3799,21.529,-999.25,15/9-F-4
3345,119.165,0.3571,22.449,-999.25,15/9-F-4
3345.5,130.505,0.3387,22.961,-999.25,15/9-F-4
3346,127.694,0.3535,23.071,-999.25,15/9-F-4
3346.5,135.549,0.3687,22.758,-999.25,15/9-F-4
3347,136.364,0.3833,21.748,-999.25,15/9-F-4
3347.5,14.577,0.3943,21.302,-999.25,15/9-F-4
3348,138.878,0.4017,21.253,-999.25,15/9-F-4
3348.5,121.557,0.4044,21.687,-999.25,15/9-F-4
3349,11.345,0.3999,22.163,-999.25,15/9-F-4
3349.5,112.738,0.3695,22.055,-999.25,15/9-F-4
3350,132.396,0.3734,22.227,-999.25,15/9-F-4
3350.5,129.961,0.3684,21.814,-999.25,15/9-F-4
3351,134.553,0.367,22.214,-999.25,15/9-F-4
3351.5,130.959,0.3568,22.009,-999.25,15/9-F-4
3352,132.298,0.3811,21.685,-999.25,15/9-F-4
3352.5,132.547,0.3864,2.114,-999.25,15/9-F-4
3353,130.031,0.3829,21.684,-999.25,15/9-F-4
3353.5,13.397,0.363,22.218,-999.25,15/9-F-4
3354,130.006,0.391,22.072,-999.25,15/9-F-4
3354.5,127.339,0.3839,21.635,-999.25,15/9-F-4
3355,120.027,0.3744,20.846,-999.25,15/9-F-4
3355.5,132.958,0.3705,21.664,-999.25,15/9-F-4
3356,148.618,0.3545,22.017,-999.25,15/9-F-4
3356.5,166.266,0.3301,23.045,-999.25,15/9-F-4
3357,165.127,0.3143,22.715,-999.25,15/9-F-4
3357.5,152.775,0.333,22.505,-999.25,15/9-F-4
3358,137.961,0.339,22.206,-999.25,15/9-F-4
3358.5,136.593,0.3526,22.643,-999.25,15/9-F-4
3359,135.385,0.3271,2.288,-999.25,15/9-F-4
3359.5,142.279,0.339,23.112,-999.25,15/9-F-4
3360,129.625,0.3449,22.747,-999.25,15/9-F-4
3360.5,133.498,0.3209,22.921,-999.25,15/9-F-4
3361,128.468,0.3096,22.908,-999.25,15/9-F-4
3361.5,128.026,0.3081,23.197,-999.25,15/9-F-4
3362,133.491,0.3006,23.098,-999.25,15/9-F-4
3362.5,137.775,0.295,22.685,-999.25,15/9-F-4
3363,150.259,0.2718,22.596,-999.25,15/9-F-4
3363.5,134.128,0.2718,21.852,-999.25,15/9-F-4
3364,121.091,0.2416,22.348,-999.25,15/9-F-4
3364.5,103.387,0.2236,2.213,-999.25,15/9-F-4
3365,9.983,0.2108,22.651,-999.25,15/9-F-4
3365.5,92.847,0.2181,22.402,-999.25,15/9-F-4
3366,87.898,0.2285,22.765,-999.25,15/9-F-4
3366.5,91.695,0.2466,2.298,-999.25,15/9-F-4
3367,108.433,0.2768,22.932,-999.25,15/9-F-4
3367.5,119.581,0.29,22.639,-999.25,15/9-F-4
3368,126.212,0.3274,21.865,-999.25,15/9-F-4
3368.5,117.326,0.3113,21.954,-999.25,15/9-F-4
3369,109.871,0.3282,21.772,-999.25,15/9-F-4
3369.5,118.132,0.326,22.181,-999.25,15/9-F-4
3370,121.381,0.3303,21.925,-999.25,15/9-F-4
3370.5,132.143,0.3389,21.949,-999.25,15/9-F-4
3371,121.064,0.3606,2.183,-999.25,15/9-F-4
3371.5,117.363,0.3591,2.191,-999.25,15/9-F-4
3372,105.408,0.3515,21.683,-999.25,15/9-F-4
3372.5,87.742,0.4001,21.335,-999.25,15/9-F-4
3373,79.367,0.384,21.077,-999.25,15/9-F-4
3373.5,90.476,0.3504,21.055,-999.25,15/9-F-4
3374,97.496,0.3681,20.924,-999.25,15/9-F-4
3374.5,104.537,0.3477,20.715,-999.25,15/9-F-4
3375,99.026,0.3432,20.242,-999.25,15/9-F-4
3375.5,113.201,0.3215,20.331,-999.25,15/9-F-4
3376,121.492,0.3312,19.897,-999.25,15/9-F-4
3376.5,124.955,0.325,19.585,-999.25,15/9-F-4
3377,119.215,0.3415,18.592,-999.25,15/9-F-4
3377.5,110.807,0.3394,18.478,-999.25,15/9-F-4
