DEPTH,GR,ILD,NPHI,RHOB,WELL
3315.5,24.0603,,0.4841,1.9367,15/9-F-4
3316.0,23.9408,,0.4841,1.9367,15/9-F-4
3316.5,25.4334,,0.4907,1.9367,15/9-F-4
3317.0,25.0155,,-4.7611,1.9367,15/9-F-4
3317.5,25.8215,,0.4703,1.9367,15/9-F-4
3318.0,26.6872,,0.4318,1.9367,15/9-F-4
3318.5,25.523,,0.3932,1.9367,15/9-F-4
3319.0,23.1349,,0.3917,1.9367,15/9-F-4
3319.5,19.6721,,0.3997,1.9367,15/9-F-4
3320.0,18.6572,,0.4552,1.9367,15/9-F-4
3320.5,19.6721,,0.4425,1.9367,15/9-F-4
3321.0,21.5527,,0.4399,1.9367,15/9-F-4
3321.5,23.7319,,0.4081,1.9367,15/9-F-4
3322.0,23.1349,,0.424,1.9367,15/9-F-4
3322.5,21.2542,,0.4324,1.9367,15/9-F-4
3323.0,18.1796,,0.4598,1.9367,15/9-F-4
3323.5,17.9706,,0.3935,2.0534,15/9-F-4
3324.0,17.1646,,0.3683,2.0839,15/9-F-4
3324.5,19.4632,,0.3767,2.2008,15/9-F-4
3325.0,18.8661,,0.3541,2.2049,15/9-F-4
3325.5,20.3587,,0.3736,2.2378,15/9-F-4
3326.0,22.7468,,0.4033,2.2018,15/9-F-4
3326.5,26.4185,,0.3992,2.1884,15/9-F-4
3327.0,27.7021,,0.3667,2.1341,15/9-F-4
3327.5,25.314,,0.3697,2.1405,15/9-F-4
3328.0,16.153,,0.3533,2.1564,15/9-F-4
3328.5,16.9621,,0.3745,2.1738,15/9-F-4
3329.0,15.381,,0.3582,2.1826,15/9-F-4
3329.5,11.997,,0.3515,2.0964,15/9-F-4
3330.0,9.9473,,0.3362,2.0794,15/9-F-4
3330.5,10.6509,,0.343,2.0578,15/9-F-4
3331.0,12.5096,,0.3532,2.121,15/9-F-4
3331.5,13.6396,,0.3512,2.0956,15/9-F-4
3332.0,13.1907,,0.3521,2.1161,15/9-F-4
3332.5,12.8513,,0.3549,2.1557,15/9-F-4
3333.0,13.6126,,0.357,2.1713,15/9-F-4
3333.5,12.4632,,0.3548,2.1813,15/9-F-4
3334.0,11.5952,,0.357,2.1449,15/9-F-4
3334.5,9.6277,,0.3428,2.1874,15/9-F-4
3335.0,9.7122,,0.3692,2.1919,15/9-F-4
3335.5,10.1424,,0.3768,2.1307,15/9-F-4
3336.0,11.1776,,0.3929,2.0301,15/9-F-4
3336.5,11.0097,,0.3873,2.0742,15/9-F-4
3337.0,11.6861,,0.3681,2.0649,15/9-F-4
3337.5,12.2941,,0.3711,2.1461,15/9-F-4
3338.0,13.4573,,0.4076,2.1256,15/9-F-4
3338.5,13.169,,0.3766,2.1858,15/9-F-4
3339.0,12.635,,0.3765,2.1909,15/9-F-4
3339.5,11.888,,0.3362,2.3269,15/9-F-4
3340.0,11.1689,,0.3323,2.366,15/9-F-4
3340.5,10.1598,,0.3617,2.3434,15/9-F-4
3341.0,10.6297,,0.4086,2.2399,15/9-F-4
3341.5,11.4858,,0.412,2.1079,15/9-F-4
3342.0,12.0015,,0.3843,2.1591,15/9-F-4
3342.5,12.1409,,0.406,2.0007,15/9-F-4
3343.0,12.2631,,0.4023,1.9778,15/9-F-4
3343.5,12.9234,,0.4054,1.9567,15/9-F-4
3344.0,12.1948,,0.3874,2.0673,15/9-F-4
3344.5,12.3721,,0.3799,2.1529,15/9-F-4
3345.0,11.9165,,0.3571,2.2449,15/9-F-4
3345.5,13.0505,,0.3387,2.2961,15/9-F-4
3346.0,12.7694,,0.3535,2.3071,15/9-F-4
3346.5,13.5549,,0.3687,2.2758,15/9-F-4
3347.0,13.6364,,0.3833,2.1748,15/9-F-4
3347.5,14.577,,0.3943,2.1302,15/9-F-4
3348.0,13.8878,,0.4017,2.1253,15/9-F-4
3348.5,12.1557,,0.4044,2.1687,15/9-F-4
3349.0,11.345,,0.3999,2.2163,15/9-F-4
3349.5,11.2738,,0.3695,2.2055,15/9-F-4
3350.0,13.2396,,0.3734,2.2227,15/9-F-4
3350.5,12.9961,,0.3684,2.1814,15/9-F-4
3351.0,13.4553,,0.367,2.2214,15/9-F-4
3351.5,13.0959,,0.3568,2.2009,15/9-F-4
3352.0,13.2298,,0.3811,2.1685,15/9-F-4
3352.5,13.2547,,0.3864,2.114,15/9-F-4
3353.0,13.0031,,0.3829,2.1684,15/9-F-4
3353.5,13.397,,0.363,2.2218,15/9-F-4
3354.0,13.0006,,0.391,2.2072,15/9-F-4
3354.5,12.7339,,0.3839,2.1635,15/9-F-4
3355.0,12.0027,,0.3744,2.0846,15/9-F-4
3355.5,13.2958,,0.3705,2.1664,15/9-F-4
3356.0,14.8618,,0.3545,2.2017,15/9-F-4
3356.5,16.6266,,0.3301,2.3045,15/9-F-4
3357.0,16.5127,,0.3143,2.2715,15/9-F-4
3357.5,15.2775,,0.333,2.2505,15/9-F-4
3358.0,13.7961,,0.339,2.2206,15/9-F-4
3358.5,13.6593,,0.3526,2.2643,15/9-F-4
3359.0,13.5385,,0.3271,2.288,15/9-F-4
3359.5,14.2279,,0.339,2.3112,15/9-F-4
3360.0,12.9625,,0.3449,2.2747,15/9-F-4
3360.5,13.3498,,0.3209,2.2921,15/9-F-4
3361.0,12.8468,,0.3096,2.2908,15/9-F-4
3361.5,12.8026,,0.3081,2.3197,15/9-F-4
3362.0,13.3491,,0.3006,2.3098,15/9-F-4
3362.5,13.7775,,0.295,2.2685,15/9-F-4
3363.0,15.0259,,0.2718,2.2596,15/9-F-4
3363.5,13.4128,,0.2718,2.1852,15/9-F-4
3364.0,12.1091,,0.2416,2.2348,15/9-F-4
3364.5,10.3387,,0.2236,2.213,15/9-F-4
3365.0,9.983,,0.2108,2.2651,15/9-F-4
3365.5,9.2847,,0.2181,2.2402,15/9-F-4
3366.0,8.7898,,0.2285,2.2765,15/9-F-4
3366.5,9.1695,,0.2466,2.298,15/9-F-4
3367.0,10.8433,,0.2768,2.2932,15/9-F-4
3367.5,11.9581,,0.29,2.2639,15/9-F-4
3368.0,12.6212,,0.3274,2.1865,15/9-F-4
3368.5,11.7326,,0.3113,2.1954,15/9-F-4
3369.0,10.9871,,0.3282,2.1772,15/9-F-4
3369.5,11.8132,,0.326,2.2181,15/9-F-4
3370.0,12.1381,,0.3303,2.1925,15/9-F-4
3370.5,13.2143,,0.3389,2.1949,15/9-F-4
3371.0,12.1064,,0.3606,2.183,15/9-F-4
3371.5,11.7363,,0.3591,2.191,15/9-F-4
3372.0,10.5408,,0.3515,2.1683,15/9-F-4
3372.5,8.7742,,0.4001,2.1335,15/9-F-4
3373.0,7.9367,,0.384,2.1077,15/9-F-4
3373.5,9.0476,,0.3504,2.1055,15/9-F-4
3374.0,9.7496,,0.3681,2.0924,15/9-F-4
3374.5,10.4537,,0.3477,2.0715,15/9-F-4
3375.0,9.9026,,0.3432,2.0242,15/9-F-4
3375.5,11.3201,,0.3215,2.0331,15/9-F-4
3376.0,12.1492,,0.3312,1.9897,15/9-F-4
3376.5,12.4955,,0.325,1.9585,15/9-F-4
3377.0,11.9215,,0.3415,1.8592,15/9-F-4
3377.5,11.0807,,0.3394,1.8478,15/9-F-4
3378.0,11.5001,,0.3358,1.8391,15/9-F-4
3378.5,12.6319,,0.3464,1.897,15/9-F-4
3379.0,13.6223,,0.3012,1.9634,15/9-F-4
3379.5,12.8358,,0.3013,2.0319,15/9-F-4
3380.0,10.609,,0.3009,1.9956,15/9-F-4
3380.5,9.8483,,0.3021,2.0993,15/9-F-4
3381.0,10.5931,,0.2733,2.518,15/9-F-4
3381.5,13.496,,0.3371,2.4687,15/9-F-4
3382.0,16.0715,,0.2898,2.3853,15/9-F-4
3382.5,16.31,8.5271,0.3006,2.4314,15/9-F-4
3383.0,14.4963,1.5525,0.2616,2.2676,15/9-F-4
3383.5,11.5241,10.7217,0.2212,2.2226,15/9-F-4
3384.0,11.5944,4.7747,0.2157,2.1907,15/9-F-4
3384.5,12.0393,5.2161,0.1963,2.1566,15/9-F-4
3385.0,12.7752,4.1652,0.1774,2.1441,15/9-F-4
3385.5,11.2113,5.5935,0.1865,2.1759,15/9-F-4
3386.0,10.0869,6.9462,0.172,2.2165,15/9-F-4
3386.5,8.95,7.4168,0.1795,2.2204,15/9-F-4
3387.0,9.1995,7.7791,0.1825,2.2235,15/9-F-4
3387.5,9.4552,7.431,0.181,2.246,15/9-F-4
3388.0,9.8692,7.1084,0.1812,2.282,15/9-F-4
3388.5,9.6025,6.3595,0.1743,2.3294,15/9-F-4
3389.0,9.4291,5.5813,0.1726,2.3597,15/9-F-4
3389.5,9.2069,5.0315,0.205,2.3541,15/9-F-4
3390.0,8.8468,4.3849,0.2199,2.3124,15/9-F-4
3390.5,8.5445,3.433,0.2344,2.2824,15/9-F-4
3391.0,8.032,2.8276,0.2351,2.3089,15/9-F-4
3391.5,7.718,2.474,0.2472,2.37,15/9-F-4
3392.0,7.6539,2.224,0.2268,2.4059,15/9-F-4
3392.5,7.8848,2.222,0.2325,2.4371,15/9-F-4
3393.0,8.2944,2.2515,0.2346,2.4572,15/9-F-4
3393.5,8.4481,2.3627,0.2116,2.4869,15/9-F-4
3394.0,8.6885,2.5466,0.2081,2.5103,15/9-F-4
3394.5,8.4237,2.9074,0.2062,2.5205,15/9-F-4
3395.0,8.2989,3.3394,0.1948,2.5189,15/9-F-4
3395.5,8.5147,3.7842,0.1734,2.5036,15/9-F-4
3396.0,8.7504,4.5719,0.1816,2.5057,15/9-F-4
3396.5,8.6595,4.758,0.1908,2.4952,15/9-F-4
3397.0,8.2387,4.4416,0.201,2.5027,15/9-F-4
3397.5,8.2299,4.1496,0.1954,2.4863,15/9-F-4
3398.0,8.4343,3.9541,0.1804,2.4975,15/9-F-4
3398.5,8.8638,4.1448,0.1786,2.5228,15/9-F-4
3399.0,8.897,4.2813,0.1715,2.5115,15/9-F-4
3399.5,8.8254,3.8283,0.1876,2.5218,15/9-F-4
3400.0,8.7673,3.2837,0.2041,2.5024,15/9-F-4
3400.5,9.2088,2.9393,0.1898,2.5016,15/9-F-4
3401.0,9.3409,2.8126,0.2029,2.485,15/9-F-4
3401.5,9.5658,2.767,0.199,2.4799,15/9-F-4
3402.0,8.8765,2.675,0.201,2.4858,15/9-F-4
3402.5,8.2022,2.9043,0.1952,2.4865,15/9-F-4
3403.0,7.1793,3.0414,0.1617,2.5138,15/9-F-4
3403.5,7.6938,3.1736,0.1507,2.5317,15/9-F-4
3404.0,8.6922,3.3766,0.1434,2.5631,15/9-F-4
3404.5,9.6271,3.6631,0.1483,2.5532,15/9-F-4
3405.0,8.9164,3.9386,0.1441,2.5457,15/9-F-4
3405.5,7.9202,4.0013,0.1591,2.5419,15/9-F-4
3406.0,7.2823,3.9637,0.1744,2.5315,15/9-F-4
3406.5,8.1395,3.7514,0.1712,2.5246,15/9-F-4
3407.0,9.3409,3.4297,0.1761,2.4854,15/9-F-4
3407.5,8.6896,3.0988,0.1959,2.4531,15/9-F-4
3408.0,7.7767,2.8927,0.2098,2.4464,15/9-F-4
3408.5,7.295,2.5717,0.223,2.4575,15/9-F-4
3409.0,8.7455,2.5556,0.2177,2.4724,15/9-F-4
3409.5,9.572,2.7661,0.22,2.4922,15/9-F-4
3410.0,9.8977,2.9109,0.2117,2.5009,15/9-F-4
3410.5,9.4622,2.8384,0.2187,2.5029,15/9-F-4
3411.0,9.9455,2.7364,0.1996,2.4935,15/9-F-4
3411.5,9.45,2.8444,0.1878,2.5052,15/9-F-4
3412.0,9.5555,2.9831,0.2067,2.5175,15/9-F-4
3412.5,8.8584,3.0052,0.2087,2.5223,15/9-F-4
3413.0,9.1014,2.9008,0.202,2.4991,15/9-F-4
3413.5,9.2727,2.6854,0.2282,2.498,15/9-F-4
3414.0,10.1513,2.2144,0.2339,2.4955,15/9-F-4
3414.5,9.9345,2.023,0.2449,2.4818,15/9-F-4
3415.0,9.0113,1.8219,0.2708,2.4499,15/9-F-4
3415.5,8.0296,1.6289,0.1914,2.3791,15/9-F-4
3416.0,7.2931,1.5207,0.1906,2.3608,15/9-F-4
3416.5,6.8184,1.4502,0.1906,2.3826,15/9-F-4
