MD_ft,Deviation,Azimuth,TVD_ft,WellName
478.67,0,0,478.67,15/9-F-1
492.62,0,0,492.62,15/9-F-1
526.41,0,0,526.41,15/9-F-1
557.87,0,0,557.87,15/9-F-1
589.86,0,0,589.86,15/9-F-1
622.51,0,0,622.51,15/9-F-1
651.25,0,0,651.25,15/9-F-1
691.27,0,0,691.27,15/9-F-1
779.53,1.84,302.24,779.53,15/9-F-1
823.82,1.91,304.7,823.79,15/9-F-1
869.09,2.47,305.76,869.03,15/9-F-1
916.01,2.05,306.81,915.91,15/9-F-1
960.30,1.8,304,960.17,15/9-F-1
993.44,1.13,330.72,993.31,15/9-F-1
1035.10,1.41,333.18,1034.94,15/9-F-1
1089.90,2.4,314.19,1089.70,15/9-F-1
1122.70,2.78,301.18,1122.47,15/9-F-1
1176.18,3.3,293.1,1175.89,15/9-F-1
1240.16,3.07,298.6,1239.76,15/9-F-1
1360.89,3.3,293.64,1360.30,15/9-F-1
1494.09,3.07,292.72,1493.31,15/9-F-1
1625.33,2.84,290.41,1624.38,15/9-F-1
1757.22,2.77,293.07,1756.10,15/9-F-1
1889.11,3.06,287.04,1887.83,15/9-F-1
2022.64,4.01,305.32,2021.10,15/9-F-1
2154.86,6.13,317.8,2152.79,15/9-F-1
2287.07,8.24,324.71,2283.96,15/9-F-1
2362.20,9.57,322.37,2358.20,15/9-F-1
2419.29,10.71,320.81,2414.40,15/9-F-1
2482.94,10.39,320.18,2476.97,15/9-F-1
2621.06,9.88,320.5,2612.93,15/9-F-1
2750.33,10.04,315.72,2740.26,15/9-F-1
2847.77,11.16,309.73,2836.02,15/9-F-1
2881.23,11.28,310.41,2868.86,15/9-F-1
3011.81,10.7,315.76,2997.05,15/9-F-1
3277.56,8.88,319.88,3258.92,15/9-F-1
3542.65,9.07,320.34,3520.77,15/9-F-1
3675.85,11.38,312.16,3651.84,15/9-F-1
3808.40,11.86,307.61,3781.66,15/9-F-1
3940.29,11.69,307.74,3910.79,15/9-F-1
4072.83,12.44,309.36,4040.39,15/9-F-1
4205.38,12.06,309.62,4169.91,15/9-F-1
4338.58,10.85,310.25,4300.49,15/9-F-1
4381.89,10.17,309.34,4343.04,15/9-F-1
4550.85,7.66,329.93,4510.01,15/9-F-1
4685.04,10.47,345.74,4642.52,15/9-F-1
4817.26,12.18,6.35,4772.21,15/9-F-1
4949.80,13.62,22.56,4901.44,15/9-F-1
5089.57,15.49,29.92,5036.75,15/9-F-1
5213.58,17.8,32.61,5155.54,15/9-F-1
5346.13,20.24,33.68,5280.84,15/9-F-1
5457.35,23.45,33.72,5384.09,15/9-F-1
5611.55,26.64,33.77,5523.75,15/9-F-1
5742.45,29.38,36.44,5639.34,15/9-F-1
5874.02,29.98,36.55,5753.61,15/9-F-1
6007.55,30.06,36.61,5869.23,15/9-F-1
6138.78,30.03,36.77,5982.84,15/9-F-1
6271.65,29.86,35.39,6097.97,15/9-F-1
6404.86,29.78,34.81,6213.55,15/9-F-1
6538.06,29.92,35.24,6329.07,15/9-F-1
6651.25,29.89,35.13,6427.20,15/9-F-1
6779.20,29.92,34.8,6538.12,15/9-F-1
6934.71,29.8,35.71,6672.97,15/9-F-1
7069.23,29.85,34.79,6789.67,15/9-F-1
7199.15,29.84,36.98,6902.36,15/9-F-1
7331.69,29.79,38.27,7017.36,15/9-F-1
7464.24,30.01,37.36,7132.28,15/9-F-1
7565.29,29.96,35.61,7219.82,15/9-F-1
7862.53,30.06,35.35,7477.20,15/9-F-1
7994.42,30.19,35.59,7591.27,15/9-F-1
8106.30,30.22,36.84,7687.96,15/9-F-1
8258.53,30.25,36.59,7819.49,15/9-F-1
8392.06,30.19,34.71,7934.88,15/9-F-1
8487.53,30.19,33.06,8017.39,15/9-F-1
8704.72,27.05,19.76,8208.23,15/9-F-1
8837.60,26.44,14.67,8326.90,15/9-F-1
8969.49,26.47,6.38,8445.01,15/9-F-1
9102.03,26.45,356.36,8563.75,15/9-F-1
9234.91,26.44,349.52,8682.74,15/9-F-1
9367.78,26.84,342.3,8801.54,15/9-F-1
9498.36,29.13,334.29,8916.86,15/9-F-1
9631.23,30.82,327.98,9031.99,15/9-F-1
9763.45,33.73,322.9,9143.80,15/9-F-1
9896.00,36.82,316.6,9252.03,15/9-F-1
10028.22,38.42,310.99,9356.79,15/9-F-1
10161.09,40.86,304.69,9459.15,15/9-F-1
10291.67,45.54,301.79,9554.30,15/9-F-1
10424.21,49.5,301.46,9643.80,15/9-F-1
10557.09,44.76,301.22,9734.19,15/9-F-1
10688.65,40.65,301.61,9830.84,15/9-F-1
10821.85,36.47,301.87,9934.97,15/9-F-1
10953.74,32.86,302.97,10043.44,15/9-F-1
11085.96,28.3,302.94,10157.25,15/9-F-1
11217.85,23.61,303.38,10275.79,15/9-F-1
11350.72,21.06,302.82,10398.69,15/9-F-1
11482.61,21.06,301.73,10521.75,15/9-F-1
11615.81,21.02,301.56,10646.10,15/9-F-1
11747.05,20.88,301.96,10768.64,15/9-F-1
11876.64,20.89,302.46,10889.73,15/9-F-1
11916.01,20.89,302.46,10926.51,15/9-F-1
